,ndate,trk,meet,race,fin,com
3170915,20180301,DB,A,1,1,FINAL STRIDE INSD
3170916,20180301,DB,A,1,2,OUTNODDED RL
3170917,20180301,DB,A,1,3,DISTANT SHOW RL
3170918,20180301,DB,A,1,4,CLOSED GROUND RL
3170919,20180301,DB,A,1,5,STEADY GAIN INSD
3170920,20180301,DB,A,1,6,VARIED LITTLE INSD
3170921,20180301,DB,A,1,7,TIRED STRETCH
3170922,20180301,DB,A,1,8,GAVE WAY STRETCH
3170923,20180301,DB,A,2,1,FINAL STRIDE RKL
3170924,20180301,DB,A,2,2,IN HOT PURSUIT INSD
3170925,20180301,DB,A,2,3,SAVED SHOW RL
3170926,20180301,DB,A,2,4,WEAKENED LATE INSD
3170927,20180301,DB,A,2,5,SOME LATE GAIN
3170928,20180301,DB,A,2,6,LOST GROUND
3170929,20180301,DB,A,2,7,SHFFLD BK BLKD 1ST
3170930,20180301,DB,A,2,8,FELL TOP OF BKSTCH
3170931,20180301,DB,A,3,1,UNDER PRESSURE INSD
3170932,20180301,DB,A,3,2,IN HOT PURSUIT INSD
3170933,20180301,DB,A,3,3,CLOSED MUCH RL
3170934,20180301,DB,A,3,4,EVEN EFFORT INSD
3170935,20180301,DB,A,3,5,WEAKENED LATE INSD
3170936,20180301,DB,A,3,6,NEVER VARIED
3170937,20180301,DB,A,3,7,COLLIDED WIDE 1ST
3170938,20180301,DB,A,3,8,COLLIDED BLKD 1ST
3170939,20180301,DB,A,4,1,FAST FINISH RL
3170940,20180301,DB,A,4,2,CAUGHT LATE INSD
3170941,20180301,DB,A,4,3,HARD TRY INSD
3170942,20180301,DB,A,4,4,EVEN EFFORT RL
3170943,20180301,DB,A,4,5,HELD EVEN PACE INSD
3170944,20180301,DB,A,4,6,BLOCKED WIDE 1ST
3170945,20180301,DB,A,4,7,PNCHD BK BLKD 1ST
3170946,20180301,DB,A,4,8,BLOCKED WIDE 1ST
3170947,20180301,DB,A,5,1,LEFT NO DOUBT RL
3170948,20180301,DB,A,5,2,CHASED WINNER INSD
3170949,20180301,DB,A,5,3,DRIVING STRETCH RL
3170950,20180301,DB,A,5,4,LATE EFFORT INSD
3170951,20180301,DB,A,5,5,SOME LATE GAIN
3170952,20180301,DB,A,5,6,FADED STRETCH RL
3170953,20180301,DB,A,5,7,CRWD ERLY BLKD 1ST
3170954,20180301,DB,A,5,8,CRWD ERLY BLKD 1ST
3170955,20180301,DB,A,6,1,DREW AWAY RL
3170956,20180301,DB,A,6,2,DRIVING STRETCH RL
3170957,20180301,DB,A,6,3,GAINED SHOW INSD
3170958,20180301,DB,A,6,4,HAD BRIEF LEAD INSD
3170959,20180301,DB,A,6,5,LATE EFFORT RL
3170960,20180301,DB,A,6,6,VARIED LITTLE RL
3170961,20180301,DB,A,6,7,CRWD ERLY BLKD 1ST
3170962,20180301,DB,A,6,8,CRWD ERLY BLKD 1ST
3170963,20180301,DB,A,7,1,MUCH THE BEST RL
3170964,20180301,DB,A,7,2,DRIVING STRETCH RL
3170965,20180301,DB,A,7,3,DISTANT SHOW RL
3170966,20180301,DB,A,7,4,WEAKENED LATE INSD
3170967,20180301,DB,A,7,5,NEVER VARIED INSD
3170968,20180301,DB,A,7,6,CRWD ERLY BLKD 1ST
3170969,20180301,DB,A,7,7,COLLIDED WIDE 1ST
3170970,20180301,DB,A,7,8,COLLIDED WIDE 1ST
3170971,20180301,DB,A,8,1,FROM FAR BACK MID
3170972,20180301,DB,A,8,2,CLOSED MUCH INSD
3170973,20180301,DB,A,8,3,SAVED SHOW INSD
3170974,20180301,DB,A,8,4,DRIVING STRETCH MID
3170975,20180301,DB,A,8,5,WEAKENED LATE INSD
3170976,20180301,DB,A,8,6,LATE EFFORT RL
3170977,20180301,DB,A,8,7,VARIED LITTLE
3170978,20180301,DB,A,8,8,KEPT PACE
3170979,20180301,DB,A,9,1,NEVER HEADED RL
3170980,20180301,DB,A,9,2,FAST FINISH INSD
